company_name,skills_required
APPLYCUPHIRINGSOLUTIONSLLP,"imageprocessing,algorithms,python,c,c,naturallanguageprocessing,machinelearning,opencv"
cornerstonesolutions,"algorithms,bi,imageprocessing,python,naturallanguageprocessing,machinelearning,opencv"
MaximusOne,"MachineLearning,,deepLearning"
MaxgenTechnologies,.
MaxgenTechnologies,.
MaxgenTechnologies,.
ENIGMASOFTTECHNOLOGIESPRIVATELIMITED,"Django,Flask,Pandas,Numpy,Matplotlib,Seaborn,Scikitlearn,RegressionAlgorithms,ClassificationAlgorithms,ClusteringAlgorithms,DataVisualization"
MaxgenTechnologies,.
patterneffectslabsprivatelimited,"algorithms,machinelearning,Boosting"
Cotocus,"machinelearning,artificialintelligence,docker"
Cotocus,"machinelearning,docker,datascience"
e-consystemsindiapvt.ltd.,"algorithms,c,oops,machinelearning,machinevision"
QuESTGlobalEngineeringPvtLtd,"algorithms,python,machinelearning,sql"
kyndrylindiapvtltd,"algorithms,python,machinelearning,java,datastructures"
identhconsolidated,"python,linux,machinelearning,technicalskills,opencv"
alliancerecruitmentagency,"algorithms,python,machinelearning,linux,opencv"
inkerstechnology,"algorithms,c,python,machinelearning,linux,opencv"
NividousSoftwareSolutions,"python,machinelearning,docker,writtencommunication,opencv"
QuESTGlobalEngineeringPvtLtd,"algorithms,python,machinelearning,sql,entrylevel"
NielsenResearchLtd.Co.,"algorithms,sql,softwareengineering,python,machinelearning,infrastructure,productionenvironment"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,database,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,database,java,bigdata,san,python,machinelearning,infrastructure"
ASTRAZENECAPHARMAINDIALTD,"python,cloudservices,naturallanguageprocessing,machinelearning,imaging,unix"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,database,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,database,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,database,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
netradyne,"algorithms,c,artificialintelligence,security,python,c,machinelearning,infrastructure"
ConcertAI,"algorithms,orchestration,sql,database,linux,webapi,python,machinelearning"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,database,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
CareerXpertsConsulting,"c,datamining,java,bigdata,python,c,machinelearning"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,database,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,database,java,bigdata,san,python,machinelearning,infrastructure"
QualeInfotech,"imageprocessing,algorithms,python,debugging,machinelearning,opencv,artificialintelligence"
BoyenHaddinConsultantsLLP,"hive,algorithms,machinelearning,sql,pig,d3.js"
ArmacoChemicalProcessesSystemsPvtLtd,"algorithms,artificialintelligence,docker,python,machinelearning,infrastructure"
netradyne,"cuda,c,machinelearning,artificialintelligence,security,rtos,linux"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,bigdata,san,python,machinelearning,infrastructure"
Ideapoke,"algorithms,artificialintelligence,rest,python,machinelearning,openstack,opencv,soap"
JobsLoConsultants,"python,datamining,informationretrieval,machinelearning,logicalthinking,sql"
aitouchllp,"algorithms,python,machinelearning,linux,webdevelopment,opencv"
APPLYCUPHIRINGSOLUTIONSLLP,"algorithms,python,machinelearning,linux,webdevelopment,opencv"
LinkitesInfotechPvtLtd,"python,teamplayer,machinelearning,sql,nosql,docker,git"
Optisolsolutions,"sql,git,devops,python,mobile,machinelearning,nosql,opencv"
AMDIndiaPvtLtd,"algorithms,python,c,problemsolving,machinelearning,artificialintelligence,systemdevelopment"
CAPITALONEFINANCIALSERVICESCLIENT,"conference,scala,java,softwareengineering,san,python,director,businessenvironment,machinelearning"
AppZen,"fundamentals,algorithms,python,teamplayer,machinelearning,artificialintelligence,softwareengineer,bigdata"
CAPITALONEFINANCIALSERVICESCLIENT,"c,conference,scala,san,python,c,director,businessenvironment,machinelearning,infrastructure,highperformancecomputing"
CAPITALONEFINANCIALSERVICESCLIENT,"scala,docker,database,java,bigdata,san,python,machinelearning,infrastructure"
AMDIndiaPvtLtd,"algorithms,c,graphics,systemdevelopment,python,problemsolving,teamplayer,machinelearning"
netradyne,"algorithms,c,artificialintelligence,sql,security,shellscripting,rest,python,c,machinelearning,nosql,infrastructure"
CAPITALONEFINANCIALSERVICESCLIENT,"orchestration,conference,scala,artificialintelligence,docker,java,bigdata,san,python,machinelearning,infrastructure"
